Row_ID,Order_ID,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship_Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,City,Zip_Code,State,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date
1,3,13/10/2010,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Highland Park,60035,Illinois,Central,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,20/10/2010
2,6,20/02/2012,Not Specified,2,6.93,0.01,Regular Air,-4.64,2.08,2.56,Ruben Dartt,Edmonds,98026,Washington,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55,21/02/2012
3,32,15/07/2011,High,26,2808.08,0.07,Regular Air,1054.82,107.53,5.81,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65,17/07/2011
4,32,15/07/2011,High,24,1761.4,0.09,Delivery Truck,-1748.56,70.89,89.3,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.72,16/07/2011
5,32,15/07/2011,High,23,160.2335,0.04,Regular Air,-85.13,7.99,5.03,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,17/07/2011
6,32,15/07/2011,High,15,140.56,0.04,Regular Air,-128.38,8.46,8.99,Liz Pelletier,High Point,27260,North Carolina,South,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79,16/07/2011
7,35,22/10/2011,Not Specified,30,288.56,0.03,Regular Air,60.72,9.11,2.25,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52,23/10/2011
8,35,22/10/2011,Not Specified,14,1892.848,0.01,Regular Air,48.99,155.99,8.99,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58,24/10/2011
9,36,02/11/2011,Critical,46,2484.7455,0.1,Regular Air,657.48,65.99,4.2,Sample Company A,Albany,97321,Oregon,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.55,02/11/2011
10,65,17/03/2011,Critical,32,3812.73,0.02,Regular Air,1470.3,115.79,1.99,Tamara Dahlen,Pflugerville,78660,Texas,Central,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49,18/03/2011
11,66,19/01/2009,Low,41,108.15,0.09,Regular Air,7.57,2.88,0.7,Arthur Gainer,Santa Fe,87505,New Mexico,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,0.56,19/01/2009
12,69,03/06/2009,Not Specified,42,1186.06,0.09,Regular Air,511.69,30.93,3.92,Jonathan Doherty,Garner,27529,North Carolina,South,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.44,05/06/2009
13,69,03/06/2009,Not Specified,28,51.53,0.03,Express Air,0.35,1.68,0.7,Jonathan Doherty,Garner,27529,North Carolina,South,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,0.6,05/06/2009
14,70,17/12/2010,Low,48,90.05,0.03,Regular Air,-107,1.86,2.58,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82,22/12/2010
15,70,17/12/2010,Low,46,7804.53,0.05,Regular Air,2057.17,205.99,5.99,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59,22/12/2010
